id	filename	md5	size	state
3783b522-8bc1-48c9-89bb-7bc9e806b380	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-CM-6677-01A-11D-1837-05.gdc_hg38.txt	237cb150dd27ead288be32b82e7c14c7	141238790	released
6ba6b54f-128a-4d6f-9486-d0eb30ed81fe	jhu-usc.edu_COAD.HumanMethylation450.14.lvl-3.TCGA-SS-A7HO-01A-21D-A36Y-05.gdc_hg38.txt	9abe7f5982060c5d5e615915efb5ff6e	141282214	released
bd317b81-dc95-441e-857b-15132eb06cf9	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AA-3509-01A-01D-1407-05.gdc_hg38.txt	a7009e505d466006f4e5dafd641c7f97	141286544	released
ea423040-266f-41bc-89b6-76307f382e67	jhu-usc.edu_COAD.HumanMethylation450.2.lvl-3.TCGA-D5-5541-01A-01D-1651-05.gdc_hg38.txt	f35056ad8d0b772b3893dd7339b29b62	141278071	released
1152bb63-2910-4891-b5c6-d2076fc019ba	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-F4-6806-01A-11D-1837-05.gdc_hg38.txt	b9504dbb508c89b70c3a0eac566bb42c	141266999	released
cb4f102a-a245-4178-b5d8-6c7f40122c15	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2686-11A-01D-1551-05.gdc_hg38.txt	623370a314587b304a3a35435928a947	141284217	released
eedcbfc5-34d7-4b81-a300-fb7883d90d11	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2671-01A-01D-1407-05.gdc_hg38.txt	bb8dadba4c7cd7e2bc08b6352e8ced71	141294208	released
51fef512-9f78-419a-9a29-c53debdb5ab8	jhu-usc.edu_COAD.HumanMethylation450.8.lvl-3.TCGA-D5-6930-01A-11D-1926-05.gdc_hg38.txt	412592ee8767505567d3df2e13e7e6c5	141263564	released
64f5b440-8d46-4b22-96c6-e886a9d0232e	jhu-usc.edu_COAD.HumanMethylation450.13.lvl-3.TCGA-A6-A566-01A-11D-A28O-05.gdc_hg38.txt	d67403c721e1f886709dced05e5f2f4b	141263493	released
bb8a8c11-e6bb-4dbe-aaaf-4a891ff422f2	jhu-usc.edu_COAD.HumanMethylation450.2.lvl-3.TCGA-A6-5662-01A-01D-1651-05.gdc_hg38.txt	a476f777fd429047fd1b34da1193a906	141277397	released
12defec9-d838-40e4-a838-687f2f4a46a9	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-G4-6309-01A-21D-1837-05.gdc_hg38.txt	e4cc3459a0a684996cb98ab57e95706c	141284437	released
a38f09b6-4b1e-41cc-a6f0-9af910c29c44	jhu-usc.edu_COAD.HumanMethylation450.3.lvl-3.TCGA-F4-6463-01A-11D-1721-05.gdc_hg38.txt	aab84928a432a5d89bd6bd1e626d56ee	141266536	released
88d1d59c-ec57-4a68-88aa-48b895941f83	jhu-usc.edu_COAD.HumanMethylation450.7.lvl-3.TCGA-DM-A28M-01A-12D-A16X-05.gdc_hg38.txt	90a0ba3b2a46988b003fa9bc1f0b008a	141288190	released
5dc24467-36f8-455c-86e6-f4c2b43fa408	jhu-usc.edu_COAD.HumanMethylation450.8.lvl-3.TCGA-D5-6927-01A-21D-1926-05.gdc_hg38.txt	4f7bd0359fa4f3a5fa81af4d78c6d47a	141278160	released
